,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
30,1363746110,GXC5627,NY,PAS,07/09/2015,38,SDN,MAZDA,X,61830,40404,40404,20160110,84.0,84,301,353983,T301,0,1030A,,K,F,1558,MONTAGUE ST,,0,408,D,,YYYYYYB,0800A,0700P,BK,0.0,2012,-,0,,,,,,,,,,,,,
31,1363746121,GSY7119,NY,999,07/09/2015,37,SUBN,DODGE,X,73220,27530,29830,20161031,84.0,84,301,353983,T301,0,1037A,,K,O,147,REMSEN ST,,0,408,I4,,YYYYYYB,0900A,0700P,WHT,0.0,2014,-,0,,,,,,,,,,,,,
32,1363746157,GRB8701,NY,PAS,07/09/2015,71,SDN,ME/BE,X,0,40404,40404,20160401,84.0,84,301,353983,T301,0,0106P,,K,F,170,JEROLEMON ST,,0,408,I3,,BBBBBBB,ALL,ALL,BK,0.0,0,-,0,,,,,,,,,,,,,
33,1363746236,GSG8677,NY,PAS,07/09/2015,71,SUBN,JEEP,P,65730,46330,57030,20160625,94.0,94,0,361885,BNTE,0,1005A,,K,O,68,NORMAN AVE,,0,408,D,,BBBBBBB,ALL,ALL,GY,0.0,2014,-,0,,,,,,,,,,,,,
34,1363746261,GYR6118,NY,OMS,07/09/2015,21,SUBN,KIA,P,0,40404,40404,20160930,94.0,94,0,361885,BNTE,0,1141A,,K,F,207,KENT,,0,408,D1,,YBBYBBB,1130A,0100P,WH,0.0,2016,-,0,,,,,,,,,,,,,
35,1363746273,JRR2316,PA,PAS,07/09/2015,21,SDN,NISSA,P,0,0,0,20150788,94.0,94,0,361885,BNTE,0,1149A,,K,,,S/S MCGUINESS 30FT,E/O JAVA ST,0,408,D1,,YBBYBBB,1130A,0100P,BL,0.0,0,-,0,,,,,,,,,,,,,
36,1363746297,GGP5711,NY,PAS,07/09/2015,41,SDN,HYUND,P,51930,58330,59640,20150501,94.0,94,0,361885,BNTE,0,1203P,,K,F,161,INDIA ST,,0,408,D1,,YBBYBBB,1130A,0100P,BK,0.0,2013,-,0,,,,,,,,,,,,,
37,1363746303,KL1A2U,MO,PAS,07/09/2015,21,SUBN,CHEVR,P,52830,59640,72760,20150688,94.0,94,0,361885,BNTE,0,1220P,,K,F,213,JAVA ST,,0,408,D1,,YBBYBBB,1130A,0100P,WH,0.0,0,-,0,,,,,,,,,,,,,
38,1363746315,GUJ9712,NY,PAS,07/09/2015,21,SUBN,SUBAR,P,52830,59640,72760,20161010,94.0,94,0,361885,BNTE,0,1225P,,K,F,219,JAVA ST,,0,408,D1,,YBBYBBB,1130A,0100P,WH,0.0,2015,-,0,,,,,,,,,,,,,
39,1363746327,GST2397,NY,PAS,07/09/2015,21,SDN,HONDA,P,52830,59640,72760,20160820,94.0,94,0,361885,BNTE,0,1229P,,K,O,230,JAVA ST,,0,408,D1,,YBBYBBB,1130A,0100P,SL,0.0,2002,-,0,,,,,,,,,,,,,
40,1363746340,GKB7874,NY,OMS,07/09/2015,21,SDN,CHRYS,P,52830,59640,72760,20150930,94.0,94,0,361885,BNTE,0,1239P,,K,F,239,JAVA ST,,0,408,D1,,YBBYBBB,1130A,0100P,SL,0.0,2014,-,0,,,,,,,,,,,,,
41,1363746352,V364120B,IL,PAS,07/09/2015,21,SDN,CHEVR,P,52830,59640,72760,20161288,94.0,94,0,361885,BNTW,0,1241P,,K,F,239,JAVA ST,,0,408,D1,,YBBYBBB,1100A,0100P,BK,0.0,0,-,0,,,,,,,,,,,,,
42,1363746431,GHJ5839,NY,PAS,07/09/2015,21,SDN,NISSA,P,87630,58330,44930,20170620,90.0,90,301,355074,T301,0,0941A,,K,O,40,VARET ST,,0,408,D1,,YBBYBBB,0930A,1100A,GRAY,0.0,2010,-,0,,,,,,,,,,,,,
43,1363746455,GHN8166,NY,PAS,07/09/2015,21,SDN,NISSA,P,62530,58330,44930,20160129,90.0,90,301,355074,T301,0,1005A,,K,F,71,MOORE ST,,0,408,D1,,YBBYBBB,0930A,1100A,BLK,0.0,1995,-,0,,,,,,,,,,,,,
44,1363746480,GXG4646,NY,PAS,07/09/2015,21,SDN,TOYOT,P,92630,85330,23230,20161011,90.0,90,301,355074,T301,0,1110A,,K,F,67,WHIPPLE ST,,0,408,C3,,YBBYBBB,1100A,1230P,WH,0.0,2011,-,0,,,,,,,,,,,,,
45,1363746510,GMT9467,NY,PAS,07/09/2015,21,SDN,,P,85330,15580,92630,20160306,90.0,90,301,355074,T301,0,1135A,,K,F,110,THROOP AVE,,0,408,D1,,YBBYBBB,1100A,1230P,GRAY,0.0,2007,-,0,,,,,,,,,,,,,
46,1363746534,GNL1100,NY,PAS,07/09/2015,37,SUBN,CHEVR,P,44930,23230,31950,20160406,90.0,90,301,355074,T301,0,0111P,,K,F,09,GRAHAM AVE,,0,408,I4,,YYYYYYB,0800A,0700P,BLK,0.0,2015,-,0,,,,,,,,,,,,,
47,1363746650,GWG3232,NY,PAS,07/09/2015,21,SDN,BMW,P,0,40404,40404,20170416,90.0,90,301,361876,T301,0,0920A,,K,O,112,MANHATTAN,,0,408,D1,,YBBYBBB,0830A,1000A,BLK,0.0,2015,-,0,,,,,,,,,,,,,
48,1363746662,GBS1325,NY,PAS,07/09/2015,21,SDN,TOYOT,P,0,40404,40404,20160926,90.0,90,301,361876,T301,0,0932A,,K,O,118,MANHATTAN,,0,408,D1,,YBBYBBB,0830A,1000A,GREY,0.0,2007,-,0,,,,,,,,,,,,,
49,1363746686,V5261U,TN,PAS,07/09/2015,21,P-U,FORD,P,58330,53530,62430,0,90.0,90,301,361876,T301,0,0940A,,K,O,120,MANHATTAN AVE,,0,408,D1,,YBBYBBB,0830A,1000A,GREY,0.0,0,-,0,,,,,,,,,,,,,
50,1363746704,VCK5489,VA,PAS,07/09/2015,40,SDN,BUICK,P,62430,58330,44930,20160188,90.0,90,301,361876,T301,0,0951A,,K,O,145,MONTROSE AV,,0,408,E2,,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,2,,,,,,,,,,,,,
51,1363746730,GMA7040,NY,PAS,07/09/2015,21,SUBN,HONDA,P,62430,51530,23930,20170203,90.0,90,301,361876,T301,0,1015A,,K,O,204,MONTROSE AV,,0,408,D1,,YBBYBBB,0930A,1100A,BLK,0.0,2013,-,0,,,,,,,,,,,,,
52,1363746741,GYD3682,NY,PAS,07/09/2015,20,SDN,NISSA,P,0,40404,40404,20170423,90.0,90,301,361876,T301,0,1020A,,K,F,124,SEIGEL,,0,408,D1,,YYYYYYB,0800A,0400P,BLK,0.0,2004,-,0,,,,,,,,,,,,,
53,1363746790,GPK6074,NY,PAS,07/09/2015,71,SDN,HONDA,P,29230,40030,20230,20160506,90.0,90,301,361876,T301,0,1250P,,K,O,220,COOK ST,,0,408,D,,BBBBBBB,ALL,ALL,GREEN,0.0,0,-,0,,,,,,,,,,,,,
54,1363746856,GVX3830,NY,PAS,07/09/2015,37,SDN,TOYOT,P,73220,48830,27530,20170310,84.0,84,301,353993,T301,0,1033A,,K,F,140,REMSEN ST,,0,408,I3,,YYYYYBB,0800A,0700P,SILVE,0.0,2013,-,0,,,,,,,,,,,,,
55,1363746868,XBWE56,NJ,PAS,07/09/2015,40,DELV,HINO,P,61830,48830,27530,0,84.0,84,301,353993,T301,0,1052A,,K,O,166,MONTAGUE ST,,0,408,I3,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0,,,,,,,,,,,,,
56,1363746870,GRG9758,NY,PAS,07/09/2015,74,SDN,INFIN,P,73220,48830,27530,20160702,84.0,84,301,353993,T301,0,1117A,,K,F,127,REMSEN ST,,0,408,E2,,BBBBBBB,ALL,ALL,RED,0.0,2014,-,0,,,,,,,,,,,,,
57,1363746881,R49DSP,NJ,PAS,07/09/2015,37,SUBN,HONDA,P,73220,48830,27530,0,84.0,84,301,353993,T301,0,1123A,,K,F,138,REMSEN ST,,0,408,J2,,YYYYYBB,0800A,0700P,BLACK,0.0,0,-,0,,,,,,,,,,,,,
58,1363747058,GKM1301,NY,PAS,07/09/2015,21,SDN,KIA,P,12630,40404,40404,20151008,84.0,84,0,361886,BETN,0,0917A,,K,O,238,AMITY ST,,0,408,D1,,BBBYBBB,0900A,1030A,SILVE,0.0,2014,-,0,,,,,,,,,,,,,
59,1363747125,GTS3040,NY,PAS,07/09/2015,21,SDN,TOYOT,P,0,0,0,20160615,84.0,84,0,361886,BETN,0,0959A,,K,F,,CLINTON ST,234,0,408,D1,,BBBYBBB,0930A,1100A,RED,0.0,2013,-,0,,,,,,,,,,,,,
60,1363747162,GEZ3752,NY,PAS,07/09/2015,71,SUBN,FORD,P,56530,38950,20530,20170310,84.0,84,0,361886,BETN,0,1137A,,K,F,258,LIVINGSTON ST,,0,408,C,,BBBBBBB,ALL,ALL,RED,0.0,2010,-,0,,,,,,,,,,,,,
61,1363747186,XAJY59,NJ,PAS,07/09/2015,18,DELV,FRUEH,P,56530,42900,51030,0,84.0,84,0,361886,BTEN,0,1200P,,K,F,180,LIVINGSTON ST,,0,408,D5,,YYYYYYY,ALL,ALL,WH,0.0,0,-,0,,,,,,,,,,,,,
62,1363747230,GAH3031,NY,PAS,07/09/2015,71,SUBN,PORSC,P,69330,5580,5680,20160712,77.0,77,0,362231,BNTE,0,0855A,,K,O,62,PARK PL,,0,408,J6,,BBBBBBB,ALL,ALL,BL,0.0,2012,-,0,,,,,,,,,,,,,
63,1363747253,GBD3365,PA,PAS,07/09/2015,21,SDN,ACURA,P,72730,24730,87330,0,77.0,77,0,362231,BNTE,0,0939A,,K,O,218,PROSPECT PL,,0,408,J6,,YBBYBBB,0830A,1000A,SILVR,0.0,0,-,0,,,,,,,,,,,,,
64,1363747265,LMD796,MS,PAS,07/09/2015,21,SUBN,TOYOT,P,69330,24730,87330,0,77.0,77,0,362231,BNTE,0,0951A,,K,F,197,PARK PL,,0,408,D1,,YBBYBBB,0930A,1100A,OTHER,0.0,0,-,0,,,,,,,,,,,,,
65,1363747290,JLX0998,PA,PAS,07/09/2015,21,SUBN,VOLKS,P,24730,72730,69330,0,77.0,77,0,362231,BNTE,0,1140A,,K,O,639,CARLTON AVE,,0,408,I3,,YBBYBBB,1130A,0100P,OTHER,0.0,0,-,0,,,,,,,,,,,,,
66,1363747320,GCK3403,NY,PAS,07/09/2015,21,SUBN,NISSA,P,80430,40930,24730,20160920,77.0,77,0,362231,BNTE,0,1156A,,K,F,93,ST MARKS AVE,,0,408,D1,,YBBYBBB,1130A,0100P,SILVR,0.0,2009,-,0,,,,,,,,,,,,,
67,1363747368,GRA4230,NY,PAS,07/09/2015,71,SUBN,HONDA,P,80430,24730,87330,20160603,77.0,77,0,362231,BNTE,0,1234P,,K,O,137,ST MARKS AVE,,0,408,D1,,BBBBBBB,ALL,ALL,SILVR,0.0,2004,-,0,,,,,,,,,,,,,
68,1363747370,GRJ9597,NY,PAS,07/09/2015,71,VAN,CHEVR,P,69330,5580,5680,20160731,77.0,77,0,362231,BNTE,0,1255P,,K,F,32,PARK PL,,0,408,J6,,BBBBBBB,ALL,ALL,WH,0.0,2006,-,0,,,,,,,,,,,,,
69,1363747447,GCK1727,NY,PAS,07/09/2015,74,SUBN,TOYOT,X,73830,18630,54830,20161023,90.0,90,0,359310,TEBN,0,1153A,,K,F,141,ROSS ST,,0,408,D1,,YBBYBBB,1130A,0100P,SL,0.0,2014,-,0,,,,,,,,,,,,,
70,1363747460,G10BVW,NJ,PAS,07/09/2015,21,SDN,FORD,X,78730,34130,23230,0,90.0,90,0,359310,TEBN,0,1208P,,K,F,183,S 8 ST,,0,408,D1,,YBBYBBB,1130A,0100P,BK,0.0,0,-,0,,,,,,,,,,,,,
71,1363747472,GJB9829,NY,PAS,07/09/2015,21,SUBN,HONDA,X,78730,34130,23230,20151017,90.0,90,0,359310,TEBN,0,1215P,,K,F,185,S 8 ST,,0,408,D1,,YBBYBBB,1130A,0100P,GREY,0.0,2014,-,0,,,,,,,,,,,,,
72,1363747850,GVA9486,NY,PAS,07/09/2015,21,FOUR,VOLKS,P,51730,92430,42030,20170219,94.0,94,0,345440,TEBN,0,0900A,,K,F,77,HURON ST,,0,408,D1,,YBBYBBB,0830A,1000A,BLK,0.0,2006,-,0,,,,,,,,,,,,,
73,1363747897,GTR8255,NY,PAS,07/09/2015,21,TWOD,SMART,P,34730,42030,58330,20160930,94.0,94,0,345440,TEBN,0,0917A,,K,O,84,EAGLE ST,,0,408,D1,,YBBYBBB,0830A,1000A,WHT,0.0,2015,-,0,,,,,,,,,,,,,
74,1363747927,GXZ7134,NY,PAS,07/09/2015,21,SUBN,TOYOT,P,57030,18630,65730,20170519,94.0,94,0,345440,TEBN,0,0949A,,K,F,913,LORIMER ST,,0,408,D1,,YBBYBBB,0930A,1100A,BLUE,0.0,1987,-,0,,,,,,,,,,,,,
75,1363747940,GCV1848,NY,PAS,07/09/2015,21,SUBN,NISSA,P,46330,60430,24330,20161128,94.0,94,0,345440,TEBN,0,1012A,,K,F,181,GUERNSEY ST,,0,408,D1,,YBBYBBB,0930A,1100A,SILV,0.0,2013,-,0,,,,,,,,,,,,,
76,1363747976,YD6006,CT,PAS,07/09/2015,21,FOUR,TOYOT,P,51730,58330,59640,0,94.0,94,0,345440,TEBN,0,1203P,,K,F,177,HURON ST,,0,408,D1,,YBBYBBB,1130A,0100P,BLK,0.0,0,-,0,,,,,,,,,,,,,
77,1363748026,GWL9316,NY,PAS,07/09/2015,21,SUBN,TOYOT,P,26930,58330,59640,20170304,94.0,94,0,345440,TEBN,0,1230P,,K,F,105,CLAY ST,,0,408,D1,,YBBYBBB,1130A,0100P,SILVE,0.0,2002,-,0,,,,,,,,,,,,,
78,1363748038,JKY3781,PA,PAS,07/09/2015,21,SDN,VOLKS,P,88130,58730,85730,20160388,79.0,79,301,346210,T301,0,0824A,,K,F,117,VERNON AVE,,0,408,I3,,YBBYBBB,0800A,0930A,GRY,0.0,0,-,0,,,,,,,,,,,,,
79,1363748040,T650785C,NY,OMT,07/09/2015,21,SUBN,CHEVR,P,88130,58730,85730,20151031,79.0,79,301,346210,T301,0,0831A,,K,F,109,VERNON AVE,,0,408,D1,,YBBYBBB,0800A,0930A,BLK,0.0,2015,-,0,,,,,,,,,,,,,
80,1363748063,GST4149,NY,PAS,07/09/2015,21,SDN,SMART,P,88130,67030,58730,20161008,79.0,79,301,346210,T301,0,0846A,,K,F,27,VERNON AVE,,0,408,D1,,YBBYBBB,0800A,0930A,BL,0.0,2008,-,0,,,,,,,,,,,,,
81,1363748099,GVC2707,NY,PAS,07/09/2015,21,SDN,VOLVO,P,93230,67030,58730,20170203,79.0,79,301,346210,T301,0,0910A,,K,F,481A,WILLOUGHBY AVE,,0,408,D1,,YBBYBBB,0800A,0930A,BLK,0.0,2011,-,0,,,,,,,,,,,,,
82,1363748105,GSG8695,NY,PAS,07/09/2015,21,SUBN,JEEP,P,93230,67030,58730,20160626,79.0,79,301,346210,T301,0,0913A,,K,F,479,WILLOUGHBY AVE,,0,408,D1,,YBBYBBB,0800A,0930A,GRY,0.0,2014,-,0,,,,,,,,,,,,,
83,1363748117,GNE7269,NY,PAS,07/09/2015,21,SDN,NISSA,P,0,40404,40404,20160223,79.0,79,301,346210,T301,0,0930A,,K,F,431,JEFFERSON,,0,408,D1,,YBBYBBB,0900A,1030A,GRY,0.0,2010,-,0,,,,,,,,,,,,,
84,1363748130,GYR6214,NY,OMS,07/09/2015,21,SDN,CHRYS,P,0,40404,40404,20160930,79.0,79,301,346210,T301,0,0938A,,K,F,463,JEFFRSON AVE,,0,408,D1,,YBBYBBB,0900A,1038A,WHITE,0.0,2015,-,0,,,,,,,,,,,,,
85,1363748154,GXX9802,NY,OMS,07/09/2015,21,SUBN,FORD,P,0,40404,40404,20150930,79.0,79,301,346210,T301,0,0956A,,K,F,291,JEFFRSON AVE,,0,408,D1,,YBBYBBB,0900A,1030A,GRY,0.0,2015,-,0,,,,,,,,,,,,,
86,1363748178,MRJ0NZ,NY,SRF,07/09/2015,46,SUBN,ROVER,P,47030,85730,85330,20160811,79.0,79,301,346210,T301,0,1053A,,K,F,370,HANCOCK ST,,0,408,D1,,BBBBBBB,ALL,ALL,BLACK,0.0,2003,-,0,,,,,,,,,,,,,
87,1363748233,GXB4444,NY,PAS,07/09/2015,68,SDN,HONDA,P,0,0,0,20170324,84.0,84,301,343920,T301,0,1048A,,K,,,N/S JORALEMON ST,W/O COURT ST,0,408,I3,,BBBBBBB,ALL,ALL,BLUE,0.0,2008,-,0,,,,,,,,,,,,,
88,1363748245,GGS6025,NY,PAS,07/09/2015,70,SDN,HONDA,P,81330,29830,20110,20150623,84.0,84,301,343920,T301,0,1149A,,K,F,187,STATE ST,,0,408,A1,,BBBBBBB,ALL,ALL,RED,0.0,2002,-,0,,,,,,,,,,,,,
89,1363748257,GRG6837,NY,PAS,07/09/2015,68,SDN,ME/BE,P,29830,68930,31830,20160602,84.0,84,301,343920,T301,0,1200P,,K,F,155,COURT ST,,0,408,J3,,YYYYYBB,0800A,0400P,BLK,0.0,2014,-,0,,,,,,,,,,,,,
90,1363748269,GPJ9872,NY,PAS,07/09/2015,37,SDN,HYUND,P,29830,13430,68930,20160528,84.0,84,301,343920,T301,0,1215P,1145A,K,F,132,COURT ST,,0,408,A1,,YYYYYYB,0730A,0700P,BLK,0.0,2014,-,0,,,,,,,,,,,,,
91,1363748270,GXG2877,NY,PAS,07/09/2015,70,SDN,TOYOT,P,77730,31830,19230,20150707,84.0,84,301,343920,T301,0,1222P,,K,F,138,SMITH ST,,0,408,I3,,BBBBBBB,ALL,ALL,BLK,0.0,2011,-,0,,,,,,,,,,,,,
92,1363748439,GKT1140,NY,PAS,07/09/2015,21,SUBN,ME/BE,P,79430,31530,54130,20151203,88.0,88,0,361328,TEBN,0,0944A,,K,F,72,S PORTLAND AVE,,0,408,D,,BBBYBBB,0930A,1100A,BK,0.0,2011,-,0,,,,,,,,,,,,,
